,0
1132,COG1218
1133,COG0464
1134,COG1674
1135,COG0717
1136,COG1597
1137,COG0329
1138,COG0019
1139,COG1045
1140,COG0289
1141,COG0474
1142,COG2171
1143,COG0253
1144,COG2217
1145,COG0165
1146,COG0224
1147,COG0636
1148,COG0508
1149,COG4178
1150,COG1225
1151,COG0056
1152,COG1528
1153,COG0502
1154,COG4770
1155,COG1071
1156,COG0022
1157,COG3200
1158,COG0542
1159,COG1521
1160,COG1270
1161,COG0372
1162,COG0542
1163,COG0452
1164,COG0484
1165,COG2301
1166,COG0740
1167,COG0740
1168,COG2230
1169,COG2230
1170,COG3360
1171,COG1010
1172,COG2099
1173,COG1797
1174,COG0669
1175,COG2241
1176,COG2875
1177,COG2038
1178,COG1492
1179,COG0368
1180,COG0664
1181,COG2124
1182,COG2124
1183,COG2124
1184,COG2124
1185,COG0711
1186,COG0295
1187,COG0711
1188,COG0712
1189,COG2175
1190,COG0355
1191,COG0055
1192,COG0664
1193,COG0520
1194,COG2114
1195,COG2217
1196,COG0239
1197,COG2217
1198,COG0474
1199,COG2217
1200,COG2217
1201,COG1674
1202,COG0624
1203,COG2217
1204,COG0860
1205,COG3409
1206,COG0529
1207,COG2895
1208,COG0031
1209,COG1058
1210,COG1546
1211,COG1219
1212,COG2230
1213,COG0640
1214,COG1353
1215,COG5551
1216,COG0234
1217,COG1072
1218,COG0372
1219,COG2127
1220,COG0459
1221,COG1623
1222,COG3682
1223,COG0505
1224,COG1168
1225,COG1343
1226,COG1605
1227,COG0459
1228,COG2303
1229,COG3324
1230,COG2235
1231,COG0703
1232,COG0757
1233,COG0464
1234,COG0128
1235,COG0337
1236,COG0082
1237,COG0436
1238,COG0236
1239,COG0071
1240,COG1371
1241,COG1246
1242,COG0503
1243,COG0596
1244,COG2124
1245,COG0156
1246,COG0161
1247,COG0511
1248,COG1225
1249,COG1543
1250,COG0132
1251,COG0156
1252,COG2193
1253,COG2367
1254,COG2124
1255,COG0346
1256,COG0458
1257,COG0575
1258,COG1329
1259,COG1518
1260,COG2134
1261,COG0283
1262,COG2060
1263,COG2205
1264,COG0083
1265,COG1197
1266,COG0640
1267,COG3961
1268,COG2216
1269,COG0192
1270,COG1132
1271,COG0626
1272,COG0646
1273,COG1410
1274,COG0376
1275,COG0745
1276,COG0761
1277,COG0761
1278,COG1357
1279,COG0462
1280,COG0469
1281,COG0438
1282,COG4638
1283,COG1018
1284,COG0194
1285,COG0508
1286,COG0567
1287,COG1273
1288,COG1376
1289,COG2156
1290,COG1013
1291,COG1304
1292,COG0535
1293,COG2267
1294,COG2329
1295,COG1402
1296,COG0125
1297,COG0674
1298,COG1014
1299,COG0463
1300,COG1376
1301,COG0160
1302,COG0361
1303,COG0554
1304,COG0463
1305,COG0576
1306,COG4683
1307,COG0040
1308,COG4683
1309,COG0277
1310,COG4581
1311,COG0518
1312,COG0519
1313,COG0245
1314,COG0463
1315,COG0406
1316,COG0347
1317,COG0067
1318,COG0069
1319,COG0070
1320,COG0241
1321,COG0279
1322,COG1104
1323,COG0326
1324,COG0107
1325,COG0127
1326,COG1947
1327,COG1575
1328,COG0821
1329,COG0563
1330,COG0115
1331,COG0699
1332,COG0221
1333,COG0483
1334,COG1260
1335,COG0174
1336,COG0112
1337,COG0391
1338,COG0588
1339,COG0240
1340,COG0509
1341,COG1216
1342,COG1391
1343,COG0174
1344,COG0584
1345,COG1494
1346,COG0493
1347,COG0141
1348,COG0578
1349,COG1523
1350,COG0366
1351,COG0782
1352,COG0187
1353,COG0240
