RECBCD,COG0507,COG1330,COG1074,,,,,,,,,,,,,,,,,,,,,,,,
CPLX0-2425,COG0188,COG0187,,,,,,,,,,,,,,,,,,,,,,,,,
PC00027,COG0776,COG0776,,,,,,,,,,,,,,,,,,,,,,,,,
CPLX0-2982,COG0330,COG0330,COG0465,,,,,,,,,,,,,,,,,,,,,,,,
HYDROG3-CPLX,COG0650,COG0651,COG1143,COG3260,COG1142,COG3262,,,,,,,,,,,,,,,,,,,,,
CPLX-169,COG3730,COG3731,COG3732,,,,,,,,,,,,,,,,,,,,,,,,
HSP70-CPLX,COG0484,COG0443,COG0576,,,,,,,,,,,,,,,,,,,,,,,,
CPLX0-3934,COG0459,COG0234,,,,,,,,,,,,,,,,,,,,,,,,,
CPLX-165,COG3716,COG3715,COG3444,,,,,,,,,,,,,,,,,,,,,,,,
GLYS-CPLX,COG0751,COG0752,,,,,,,,,,,,,,,,,,,,,,,,,
PC00063,COG1349,COG1349,,,,,,,,,,,,,,,,,,,,,,,,,
ABC-54-CPLX,COG2884,COG2177,,,,,,,,,,,,,,,,,,,,,,,,,
CPLX-158,COG1925,COG1299,,,,,,,,,,,,,,,,,,,,,,,,,
CPLX0-7451,COG1298,COG1377,COG3190,COG1338,COG1987,COG1684,COG1317,COG1157,COG2882,,,,,,,,,,,,,,,,,,
CPLX0-7450,COG1536,COG1868,COG1886,,,,,,,,,,,,,,,,,,,,,,,,
CPLX0-7452,COG1677,COG1766,COG1706,COG4786,COG4787,COG1558,COG1815,COG1360,COG1291,COG2063,COG1536,COG1868,COG1886,COG2882,COG1157,COG1317,COG1684,COG1987,COG1338,COG3190,COG1377,COG1298,COG1749,COG1256,COG1344,COG1344,COG1345
CPLX0-3401,COG3539,COG3539,COG2916,COG3539,,,,,,,,,,,,,,,,,,,,,,,
CPLX0-2202,COG2885,COG1729,COG0823,COG0848,COG0811,COG3064,COG3047,,,,,,,,,,,,,,,,,,,,
CPLX0-2141,COG0841,COG0841,COG1538,,,,,,,,,,,,,,,,,,,,,,,,
ENTMULTI-CPLX,COG3433,COG2977,COG1020,COG1021,,,,,,,,,,,,,,,,,,,,,,,
ABC-8-CPLX,COG0444,COG4608,COG0601,COG1173,COG0747,,,,,,,,,,,,,,,,,,,,,,
